"alphabets","Place","Language"
"Z","Zambia","English"
"Z","Zimbabwe","English"
"Y","Yemen","English"
"X","Xalapa","English"
"X","Xiangfan","English"
"W","Wad Madani","English"
"W","Watford","English"
"V","Vietnam","English"
"V","Venezuela","English"
"U","Uganda","English"
"U","Ukraine","English"
"U","United Arab Emirates","English"
"U","United Kingdom","English"
"U","United States","English"
"U","Uruguay","English"
"U","Uzbekistan","English"
"T","Tonga","English"
"T","Turkey","English"
"T","Turkmenistan","English"
"T","Tunisia","English"
"T","Thailand","English"
"T","Tanzania","English"
"S","Saint Lucia","English"
"S","Samoa","English"
"S","San Marino","English"
"S","Saudi Arabia","English"
"S","Senegal","English"
"S","Serbia","English"
"S","Singapore","English"
"S","Slovakia","English"
"S","Somalia","English"
"S","South Korea","English"
"S","Spain","English"
"S","Sri Lanka","English"
"S","Sudan","English"
"S","Swaziland","English"
"S","Sweden","English"
"S","Syria","English"
"S","Switzerland","English"
"R","Romania","English"
"R","Russia","English"
"R","Rwanda","English"
"Q","Qatar","English"
"P","Pakistan","English"
"P","Paraguay","English"
"P","Panama","English"
"P","Peru","English"
"P","Poland","English"
"P","Portugal","English"
"P","Philippines","English"
"O","Oman","English"
"N","Namibia","English"
"N","Nepal","English"
"N","Netherlands","English"
"N","New Zealand","English"
"N","Nigeria","English"
"N","North Korea","English"
"N","Niger","English"
"N","Norway","English"
"M","Macedonia","English"
"M","Madagascar","English"
"M","Malawi","English"
"M","Malaysia","English"
"M","Maldives","English"
"M","Mali","English"
"M","Malta","English"
"M","Mauritius","English"
"M","Mexico","English"
"M","Monaco","English"
"M","Mongolia","English"
"M","Morocco","English"
"M","Myanmar","English"
"M","Mozambique","English"
"L","Liberia","English"
"L","Libya","English"
"L","Lebanon","English"
"K","Kazakhstan","English"
"K","Kenya","English"
"K","Kiribati","English"
"K","Kuwait","English"
"K","Kyrgyzstan","English"
"J","Jamaica","English"
"J","Japan","English"
"J","Jordan","English"
"I","Iceland","English"
"I","Iran","English"
"I","India","English"
"I","Iraq","English"
"I","Italy","English"
"I","Indonesia","English"
"I","Ireland","English"
"H","Haiti","English"
"H","Honduras","English"
"H","Hungary","English"
"h","holland","English"
"G","Ghana","English"
"G","Germany","English"
"G","Georgia","English"
"G","Guinea","English"
"F","France","English"
"F","Finland","English"
"E","Ecuador","English"
"E","Egypt","English"
"E","El Salvador","English"
"E","Eritrea","English"
"E","Ethiopia","English"
"D","Denmark","English"
"D","Dominica","English"
"C","Cambodia","English"
"C","Cameroon","English"
"C","Canada","English"
"C","Chad","English"
"C","Chile","English"
"C","China","English"
"C","Colombia","English"
"C","Congo","English"
"C","Costa Rica","English"
"C","Croatia","English"
"C","Cuba","English"
"B","Bahamas","English"
"B","Bahrain","English"
"B","Bangladesh","English"
"B","Barbados","English"
"B","Belarus","English"
"B","Belgium","English"
"B","Belize","English"
"B","Benin","English"
"B","Bermuda","English"
"B","Bhutan","English"
"B","Botswana","English"
"B","Bosnia ","English"
"B","Brazil","English"
"B","Bulgaria","English"
"B","Burkina Faso","English"
"A","Afghanistan","English"
"A","Albania","English"
"A","Algeria","English"
"A","Andorra","English"
"A","Angola","English"
"A","Antigua","English"
"A","Argentina","English"
"A","Armenia","English"
"A","Aruba","English"
"A","Australia","English"